acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_ptp,acc_x_rms,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_ptp,acc_y_rms,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_ptp,acc_z_rms,has_gyro,gyr_x_mean,gyr_x_std,gyr_x_min,gyr_x_max,gyr_x_ptp,gyr_x_rms,gyr_y_mean,gyr_y_std,gyr_y_min,gyr_y_max,gyr_y_ptp,gyr_y_rms,gyr_z_mean,gyr_z_std,gyr_z_min,gyr_z_max,gyr_z_ptp,gyr_z_rms,n_readings,sample_id,event,type,depth,condition,speed,vehicle,placement
0.39950800000000003,0.7007381436285598,-1.3730000000000002,2.785,4.158,0.8066229528100475,-0.7087120000000001,0.5815477117623282,-2.3930000000000002,0.706,3.099,0.9167717491284295,10.793595999999999,1.0212483031976112,7.845,13.729000000000001,5.884000000000001,10.841801635706124,0,,,,,,,,,,,,,,,,,,,250,004399f4-1ea7-420a-9993-c7c6343e0631,af97e26d-d273-4cdf-823e-9512a0a15757,Manhole_cover,,good,7.916399999999999,Chevrolet Express van 2013,Console
-0.6952499999999999,0.48043288701812603,-2.471,2.7460000000000004,5.2170000000000005,0.8450966343729996,7.1800178571428575,0.6350299906042524,5.138999999999999,10.63,5.491000000000001,7.208045471406042,-6.721575892857142,0.597999136667069,-9.689,-3.883,5.806,6.7481245876830735,0,,,,,,,,,,,,,,,,,,,224,007e6302-bcf1-4085-8594-f34e7de9ea42,e7250d71-00d4-4a28-95c3-0093b63e9e7c,Pothole,4.0,,1.4383928571428573,Kia RIO 2018,Left door top
3.071429166666667,0.4551267900076185,1.216,4.315,3.099,3.104966589326419,9.2006125,1.0978093280151535,5.256,14.2,8.943999999999999,9.265875873107374,3.3476291666666667,0.6736100132737332,1.412,5.57,4.158,3.414728611105134,0,,,,,,,,,,,,,,,,,,,240,00bf6eb2-69bb-4b29-b110-d76c942e3d78,24bb858e-aa25-4c4f-bb73-35895d8904d1,Pothole,6.5,,7.0687500000000005,Peugeot Partner 2013,Left door
-7.953959016393443,0.9806841907193679,-12.199000000000002,-4.825,7.374000000000001,8.014187763984161,2.6789918032786884,0.6098856046444169,1.255,4.236000000000001,2.9810000000000008,2.747536629926321,5.74088524590164,0.9205728455047311,3.648,8.591000000000001,4.943000000000001,5.81422546608676,0,,,,,,,,,,,,,,,,,,,122,00c2cdcb-a57a-4ae9-af03-2cd35b6e003f,af6bbb39-4b3a-4500-b4c7-ebd7b65329eb,Pothole,6.0,,0.0,Chevrolet Spark 2013,Copilot
5.945237288135593,0.857755799450491,2.076,9.249,7.173,6.0067954371468995,-1.0754957627118644,0.709841701724736,-4.077,1.245,5.322,1.2886296508767148,7.319580508474577,1.186182724281041,2.5069999999999997,10.147,7.640000000000001,7.415071697254432,1,0.012199152542372879,0.026858199504764795,-0.054000000000000006,0.09300000000000001,0.14700000000000002,0.029498850882531517,-0.0004661016949152556,0.09522686401728206,-0.27699999999999997,0.23,0.507,0.09522800471161796,0.011661016949152543,0.02475155202768856,-0.081,0.098,0.179,0.02736089625848899,236,00dceb94-3a16-412f-a408-437a840d12c0,5794dfea-1dd6-4ee5-9198-242de74036d9,Pothole,6.0,,0.0,Chevrolet Cruze 2010,Right door
2.817681818181818,1.0407789865097827,0.11800000000000001,6.433,6.3149999999999995,3.0037562696185467,1.4626136363636364,1.2378721426836583,-1.9609999999999999,7.532,9.493,1.9161331088703337,10.153443181818181,1.8960836722640275,3.883,17.064,13.181000000000001,10.328966150522342,0,,,,,,,,,,,,,,,,,,,88,00fe3cd9-1a57-4f20-8901-06f9ac4e1a4f,c2320087-6163-476c-b4aa-ce630700aaea,Metal_bumps,,bad,56.7,VW Pointer 2004,Glove compartment
-1.0346,0.6570886089409861,-3.373,0.863,4.236000000000001,1.2256274311551616,-7.227364705882353,0.6111946613383031,-8.787,-5.2170000000000005,3.5700000000000003,7.253162034994279,6.790305882352942,0.8174170801412057,4.55,8.904,4.354,6.839329255038357,0,,,,,,,,,,,,,,,,,,,85,01108035-cc4c-4d12-9c5c-8b6933c5f928,961742d0-6534-466a-a275-3a5dffa09c48,Pothole,6.5,,13.5,Kia RIO 2018,Console seats
-4.761616279069767,1.705233373638987,-10.474,1.412,11.886,5.0577475666223615,-0.2478982558139535,0.5168214499803085,-2.432,1.0979999999999999,3.53,0.573199752612777,-8.268029069767442,1.301275757859247,-13.847000000000001,-2.9810000000000003,10.866000000000001,8.36980425676202,0,,,,,,,,,,,,,,,,,,,344,01124326-2798-488a-9976-8adf21453df2,501e9fc7-3277-43fe-91be-93d809352fe1,Pothole,16.0,,11.197674418604652,Chevrolet Express van 2013,Left door
-7.301201834862385,0.872974150544888,-9.571,-4.276,5.295,7.353205566344344,2.4853211009174316,0.6309656191033954,0.981,4.158,3.1770000000000005,2.5641643058033474,6.021495412844035,0.9825904690131447,3.9619999999999997,9.022,5.0600000000000005,6.101138503320282,0,,,,,,,,,,,,,,,,,,,109,01de6edb-ffce-45a2-ab76-c61ab62dac58,297f7664-be6a-4827-9f44-ccad0d9ad717,Pothole,7.5,,0.0,VW Pointer 2004,Dashboard
0.06096428571428572,0.4324540560906461,-1.608,1.216,2.824,0.4367300708239642,5.550279761904762,0.9789002388832364,3.295,8.63,5.335000000000001,5.635942788309268,8.263511904761904,1.6218778320943994,4.276,11.69,7.414,8.421170744165027,0,,,,,,,,,,,,,,,,,,,168,01e7386d-8b3c-4440-ad13-e691dea94bdc,eff8a224-4321-45ef-8d58-6703e72cdc50,Speed_bump,,good,0.0,Chevrolet Cruze 2010,Console
